Macrepo	Title	Date	Scale	Surveyor/Author	Citation	Thumbnail Link	Archive Link
50502	Hamilton	[1800?]	"[1:3,960]"	[Author unknown]	"[Author unknown]. Hamilton. [1:3,960]. [Hamilton?]: [Publisher unknown], [1800?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A50502/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A50502
50503	"Plan of subdivision of part of lot 7, Concession 2, Barton-Tp., the property of Hon. W.E. Sanford"	1892	[1:720]	"Wallace, Charles H."	"Wallace, Charles H.. Plan of subdivision of part of lot 7, Concession 2, Barton-Tp., the property of Hon. W.E. Sanford. [1:720]. [Hamilton, Ont.]: [Publisher unknown], 1892."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A50503/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A50503
55460	"Plan of lot no. 1 in the broken front & part of lot no. 17 in 2nd conn, Township of Barton, the property of Allan MacNab Esqr."	1833	"[1:1,580]"	"Black, Hugh, 1792-1854"	"Black, Hugh, 1792-1854. Plan of lot no. 1 in the broken front & part of lot no. 17 in 2nd conn, Township of Barton, the property of Allan MacNab Esqr.. [1:1,580]. [Canada]: [Publisher unknown], 1833."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A55460/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A55460
58113	Plan of building lots in the City of Hamilton	[1856?]	[1:1200]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of building lots in the City of Hamilton. [1:1200]. Canada: H. Gregory Lith., [1856?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58113/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58113
58134	"Plan of survey of the block lying between Bold, Duke, MacNab, and Bond Streets"	1866	[1:600]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of survey of the block lying between Bold, Duke, MacNab, and Bond Streets. [1:600]. Canada: [Publisher unknown], 1866."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58134/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58134
58230	"Proposed survey of lots in Hamilton, the property of J. M. Williams"	[between 1800 and 1890]	[1:1200]	[Author unknown]	"[Author unknown]. Proposed survey of lots in Hamilton, the property of J. M. Williams. [1:1200]. [Canada]: [Publisher unknown], [between 1800 and 1890]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58230/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58230
58541	"Sketch of lots taken from title deeds, April 6th 1857."	1857	Scale not given.	"Kirkendall, D."	"Kirkendall, D.. Sketch of lots taken from title deeds, April 6th 1857.. Scale not given.. [Canada]: [Publisher unknown], 1857."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58541/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58541
58542	Saltfleet	1846	"[1:31,680]"	Ontario. Crown Lands Department	"Ontario. Crown Lands Department. Saltfleet. [1:31,680]. Canada: Crown Land Department, 1846."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58542/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58542
58543	Subdivision of lots 7 & 8 and east half of lot 6 in Michael Aikmans survey	1872	[1:600]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Subdivision of lots 7 & 8 and east half of lot 6 in Michael Aikmans survey. [1:600]. Canada: [Publisher unknown], 1872."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58543/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A58543
61439	"[Map of Barton and South Streets, Hamilton, Ontario]"	[between 1830 and 1893]	Scale not given.	[Author unknown]	"[Author unknown]. [Map of Barton and South Streets, Hamilton, Ontario]. No scale given. Canada: [Publisher unknown], [between 1830 and 1893]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A61439/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A61439
61445	"Map of the Town of Dundas in the Counties of Wentworth and Halton, Canada West"	1851	"[1:3,000 approximately]"	"Smith, Marcus, 1815-1904"	"Smith, Marcus, 1815-1904. Map of the Town of Dundas in the Counties of Wentworth and Halton, Canada West. [1:3,000 approximately]. [Dundas, Ont.?]: Published by the Author, 1851."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A61445/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A61445
61977	[Survey of properties adjacent to Victoria Avenue and Wellington Street at Barton Street]	1852	"[1:1,200]"	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. [Survey of properties adjacent to Victoria Avenue and Wellington Street at Barton Street]. [1:1,200]. Hamilton, Ont.: [Publisher unknown], 1852."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A61977/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A61977
61979	"Sketch of survey lots in the City of Hamilton, the property of Robert N. Law, Esqr."	1853	[1:1200]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Sketch of survey lots in the City of Hamilton, the property of Robert N. Law, Esqr.. [1:1200]. Canada: Tho. Allen Blyth, P.L.S., 1853."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A61979/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A61979
61980	"Plan of subdivision of lot nos. 11, 12, and 13 in the late James Hughson's Survey in Hamilton"	1858	[1:300]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of subdivision of lot nos. 11, 12, and 13 in the late James Hughson's Survey in Hamilton. [1:300]. Canada: Ths. Allen Blyth, P.L.S., 1858."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A61980/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A61980
63213	Plan of survey of part of lot no 24 in the 2nd conn Flamboro' West containing 18 1/2 acres	1853	[1:2380]	"Blyth, Thomas Allen"	"Blyth, Thomas Allen. Plan of survey of part of lot no 24 in the 2nd conn Flamboro' West containing 18 1/2 acres. [1:2380]. Canada: [Publisher unknown], 1853."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A63213/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A63213
63214	"Plan of lot no 10 in the 5th Concession, Township of Barton, 1853"	1853	"[1:3,170]"	"Peters, Samuel, 1822-1882"	"Peters, Samuel, 1822-1882. Plan of lot no 10 in the 5th Concession, Township of Barton, 1853. [1:3,170]. Hamilton: [Publisher unknown], 1853."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A63214/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A63214
65014	"A plan of survey of lots in the city of Hamilton, corner of Bay and Concession Streets"	1872	[1:600]	[Author unknown]	"[Author unknown]. A plan of survey of lots in the city of Hamilton, corner of Bay and Concession Streets. [1:600]. Canada: [Publisher unknown], 1872."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65014/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A65014
